Capteur,Variable,Unité remontée,Unité théorique
sensor_pachy4,humidity3,%,variable non décrite
sensor_pachy4,count12,-,variable non décrite
sensor_pachy4,count11,-,variable non décrite
sensor_pachy5,puissanceA2,kW,W
sensor_pachy5,cosphi2,,-
sensor_pachy5,energyA2,kWh,variable non décrite
sensor_pachy5,puissanceA1,kW,W
sensor_pachy5,cosphi1,,-
sensor_pachy5,energyA1,kWh,kWh
sensor_pachy5,in11,[-],°C x 10
sensor_pachy5,in21,[-],variable non décrite
sensor_pachy5,forward_temp2,degC,°C
sensor_pachy5,power2,W,W
sensor_pachy5,energy2,W/h,kWh
sensor_pachy5,temp_diff2,degC,variable non décrite
sensor_pachy5,flow_rate2,l/h,l/h
sensor_pachy5,count12,-,variable non décrite
sensor_pachy5,return_temp2,degC,°C
sensor_pachy5,count22,-,variable non décrite
sensor_pachy5,in12,[-],variable non décrite
sensor_pachy5,in22,[-],variable non décrite
sensor_pachy5,forward_temp1,degC,°C
sensor_pachy5,power1,W,W
sensor_pachy5,energy1,W/h,kWh
sensor_pachy5,temp_diff1,degC,variable non décrite
sensor_pachy5,flow_rate1,l/h,l/h
sensor_pachy5,count11,-,variable non décrite
sensor_pachy5,return_temp1,degC,°C
sensor_pachy5,count21,-,variable non décrite
sensor_pachy5b,humidite1,%,variable non décrite
sensor_pachy5b,temperature1,degC,°C
sensor_pachy5b,temperature_ext,degC,°C
sensor_pachy5b,humidite_ext,%,variable non décrite
